Sample Name	Protocol REF	Comment[description]	Parameter Value[Amount of RNA used]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Hybridization Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hybridization Duration]	Unit	Term Source REF	Term Accession Number	Hybridization Assay Name	Protocol REF	Array Design REF	Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]
Atha_WS-0_Whole-Plant_FLT_Rep1	RNA Extraction	FLIGHT TAGES 2B plate2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	FLTAGES2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_FLT_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8311_FLTAGES2_25_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Whole-Plant_FLT_Rep2	RNA Extraction	FLIGHT TAGES 2B plate4	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	FLTAGES4	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_FLT_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8313_FLTAGES4_27_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Whole-Plant_FLT_Rep3	RNA Extraction	FLIGHT TAGES 2B plate6	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	FLTAGES6	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_FLT_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8315_FLTAGES6_29_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Whole-Plant_GC_Rep1	RNA Extraction	GROUND CONTROL TAGES 2B plate2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	GCTAGES2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_GC_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8312_GCTAGES2_26_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Whole-Plant_GC_Rep2	RNA Extraction	GROUND CONTROL TAGES 2B plate4	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	GCTAGES4	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_GC_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8314_GCTAGES4_28_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Whole-Plant_GC_Rep3	RNA Extraction	GROUND CONTROL TAGES 2B plate6	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	GCTAGES6	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Whole-Plant_GC_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8316_GCTAGES6_30_Ferl.Paul_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_FLT_Rep1	RNA Extraction	FLIGHT TAGES 2B plate2 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F2S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_FLT_Rep1	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8410_Ferl_Paul_F2S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_FLT_Rep2	RNA Extraction	FLIGHT TAGES 2B plate4 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_FLT_Rep2	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8411_Ferl_Paul_F4S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_FLT_Rep3	RNA Extraction	FLIGHT TAGES 2B plate6 SHOOTS Rep1	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F6S1	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_FLT_Rep3	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8413_Ferl_Paul_F6S1_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
Atha_WS-0_Col-0_Shoot_FLT_Rep4	RNA Extraction	FLIGHT TAGES 2B plate4 SHOOTS Rep2	60	nanogram	UO	http://purl.obolibrary.org/obo/UO_0000024	Reverse Transcription	Labeling	F4S2	biotin			Nucleic Acid Hybridization	45	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	16	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Atha_WS-0_Col-0_Shoot_FLT_Rep4	Data Collection	AFFY ATH1 121501	GLDS-7_microarray_8412_Ferl_Paul_F4S2_(ATH1-121501).CEL	GeneLab microarray data processing protocol	GLDS-7_array_raw_intensities_probe_GLmicroarray.csv	GLDS-7_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-7_array_normalized_intensities_probe_GLmicroarray.csv
